reportId,reporterId,rumourId,reportDate,reportType
R001,U001,12345678,02/02/2026,FALSE_INFO
R002,U003,12345678,02/02/2026,DISTORTED
R003,U004,12345678,03/02/2026,INCITE
R004,U005,12345678,03/02/2026,FALSE_INFO
R005,U007,12345678,04/02/2026,FALSE_INFO
R006,U001,23456789,03/02/2026,FALSE_INFO
R007,U003,23456789,03/02/2026,DISTORTED
R008,U004,23456789,04/02/2026,FALSE_INFO
R009,U005,23456789,04/02/2026,INCITE
R010,U007,23456789,05/02/2026,FALSE_INFO
R011,U008,23456789,05/02/2026,DISTORTED
R012,U001,56789012,05/02/2026,DISTORTED
R013,U003,56789012,06/02/2026,FALSE_INFO
R014,U005,56789012,06/02/2026,INCITE
R015,U007,56789012,07/02/2026,FALSE_INFO
R016,U008,56789012,07/02/2026,DISTORTED
R017,U009,56789012,08/02/2026,FALSE_INFO
R018,U001,67890123,06/02/2026,INCITE
R019,U003,67890123,07/02/2026,FALSE_INFO
R020,U004,67890123,07/02/2026,DISTORTED
R021,U005,67890123,08/02/2026,INCITE
R022,U007,67890123,08/02/2026,FALSE_INFO
R023,U001,89012345,08/02/2026,FALSE_INFO
R024,U003,89012345,09/02/2026,DISTORTED
R025,U004,89012345,09/02/2026,INCITE
R026,U005,89012345,10/02/2026,FALSE_INFO
R027,U007,89012345,10/02/2026,FALSE_INFO
R028,U001,90123456,07/02/2026,INCITE
R029,U002,90123456,07/02/2026,INCITE
R030,U003,90123456,07/02/2026,INCITE
R031,U004,90123456,07/02/2026,INCITE
R032,U005,90123456,07/02/2026,INCITE
R033,U007,90123456,07/02/2026,INCITE
R034,U006,89012345,07/02/2026,DISTORTED
R035,U001,78901234,07/02/2026,DISTORTED
R036,U002,78901234,07/02/2026,INCITE
R037,U003,78901234,07/02/2026,DISTORTED
R038,U004,78901234,07/02/2026,INCITE
R039,U005,78901234,07/02/2026,INCITE
